Daedra Venin,Paralyze,Restore Fatigue,Damage Health,Reflect Damage
Daedroth Teeth,Night-Eye,Frost Shield,Burden,Light
Dog FoodSI,Fortify Health,Damage Fatigue,Dispel,Damage Magicka
Dragon's Tongue,Resist Fire,Damage Health,Restore Health,Fire Shield
Dreugh Wax,Damage Fatigue,Resist Poison,Water Breathing,Damage Health
Dryad's Saddle Polypore Cap,Restore Luck,Resist Frost,Damage Speed,Frost Damage
Ectoplasm,Shock Damage,Dispel,Fortify Magicka,Damage Health
Elf Cup Cap,Damage Willpower,Cure Disease,Fortify Strength,Damage Intelligence
Elytra IchorSI,Restore Magicka,Burden,Chameleon,Silence
Emetic Russula Cap,Restore Agility,Shield,Damage Personality,Damage Endurance
Fennel Seeds,Restore Fatigue,Damage Intelligence,Damage Magicka,Paralyze
Fire Salts,Fire Damage,Resist Frost,Restore Magicka,Fire Shield
Flame StalkSI,Restore Health,Fire Damage,Frost Shield,Invisibility
Flax Seeds,Restore Magicka,Feather,Shield,Damage Health
Flour,Restore Fatigue,Damage Personality,Fortify Fatigue,Reflect Damage
Fly Amanita Cap,Restore Agility,Burden,Restore Health,Shock Damage
Foxglove Nectar,Resist Poison,Resist Paralysis,Restore Luck,Resist Disease
Frost Salts,Frost Damage,Resist Fire,Silence,Frost Shield
Fungus StalkSI,Restore Strength,Water Walking,Fortify Health,Restore Magicka
Garlic,Resist Disease,Damage Agility,Frost Shield,Fortify Strength
Ginkgo Leaf,Restore Speed,Fortify Magicka,Damage Luck,Shock Damage
Ginseng,Damage Luck,Cure Poison,Burden,Fortify Magicka
Glow Dust,Restore Speed,Light,Reflect Spell,Damage Health
Gnarl BarkSI,Restore Endurance,Shield,Fire Shield,Damage Health
Grapes,Restore Fatigue,Water Walking,Dispel,Damage Health
Green Stain Cup Cap,Restore Fatigue,Damage Speed,Reflect Damage,Damage Health
Green Stain Shelf Cap,Restore Luck,Fortify Luck,Damage Fatigue,Restore Health
Grummite EggsSI,Damage Magicka,Dispel,Chameleon,Silence
Ham,Restore Fatigue,Restore Health,Damage Magicka,Damage Luck
Harrada,Damage Health,Damage Magicka,Silence,Paralyze
Hound ToothSI,Cure Poison,Detect Life,Burden,Invisibility
Hunger TongueSI,Cure Poison,Cure Disease,Fire Damage,Fortify Magicka
Hydnum Azure Giant SporeSI,Restore Endurance,Detect Life,Fortify Health,Frost Shield
Imp Gall,Fortify Personality,Cure Paralysis,Damage Health,Fire Damage
Ironwood Nut,Restore Intelligence,Resist Fire,Damage Fatigue,Fortify Health
Lady's Mantle Leaves,Restore Health,Damage Endurance,Night-Eye,Feather
Lady's Smock Leaves,Restore Intelligence,Resist Fire,Damage Fatigue,Fortify Health
Lavender Sprig,Restore Personality,Fortify Willpower,Restore Health,Damage Luck
Leek,Restore Fatigue,Fortify Agility,Damage Personality,Damage Strength
Letifer Orca Digestive SlimeSI,Damage Health,Damage Fatigue,Damage Magicka,Restore Fatigue
Lettuce,Restore Fatigue,Restore Luck,Fire Shield,Damage Personality
Lichor,Restore Magicka, , , 
Mandrake Root,Cure Disease,Resist Poison,Damage Agility,Fortify Willpower
Milk Thistle Seeds,Light,Frost Damage,Cure Paralysis,Paralyze
Minotaur Horn,Restore Willpower,Burden,Fortify Endurance,Resist Paralysis
Monkshood Root Pulp,Restore Strength,Damage Intelligence,Fortify Endurance,Burden
Morning Glory Root Pulp,Burden,Damage Willpower,Frost Shield,Damage Magicka
Mort Flesh,Damage Fatigue,Damage Luck,Fortify Health,Silence
Motherwort Sprig,Resist Poison,Damage Fatigue,Silence,Invisibility
Mugwort Seeds,Restore Health, , , 
Mutton,Fortify Health,Damage Fatigue,Dispel,Damage Magicka
Nightshade,Damage Health,Burden,Damage Luck,Fortify Magicka
Nirnroot,Drain Health,Drain Fatigue,Drain Agility,Drain Speed
Ogre's Teeth,Damage Intelligence,Resist Paralysis,Shock Damage,Fortify Strength
Onion,Restore Fatigue,Water Breathing,Detect Life,Damage Health
Orange,Restore Fatigue,Detect Life,Burden,Shield
Pear,Restore Fatigue,Damage Speed,Fortify Speed,Damage Health
Peony Seeds,Restore Strength,Damage Health,Damage Speed,Restore Fatigue
Potato,Restore Fatigue,Shield,Burden,Frost Shield
Primrose Leaves,Restore Willpower,Restore Personality,Fortify Luck,Damage Strength
Pumpkin,Restore Fatigue,Damage Agility,Damage Personality,Detect Life
Purgeblood SaltsVL,Restore Magicka,Damage Health,Fortify Health,Dispel
Radish,Restore Fatigue,Damage Endurance,Chameleon,Burden
Rat Meat,Damage Fatigue,Detect Life,Damage Magicka,Silence
Red Kelp Gas BladderSI,Restore Speed,Water Breathing,Cure Disease,Fortify Magicka
Redwort Flower,Resist Frost,Cure Poison,Damage Health,Invisibility
Refined Frost Salts,Frost Damage,Frost Shield,Resist Fire,Silence
Rice,Restore Fatigue,Silence,Shock Shield,Damage Agility
Root Pulp,Cure Disease,Damage Willpower,Fortify Strength,Damage Intelligence
Rot ScaleSI,Burden,Damage Health,Silence,Paralyze
Sacred Lotus Seeds,Resist Frost,Damage Health,Feather,Dispel
Scales,Damage Willpower,Water Breathing,Damage Health,Water Walking
Scalon FinSI,Water Breathing,Damage Health,Shock Damage,Burden
Scamp Skin,Damage Magicka,Resist Shock,Reflect Damage,Damage Health
Screaming MawSI,Restore Willpower,Detect Life,Chameleon,Restore Health
Shepherd's Pie,Cure Disease,Shield,Fortify Agility,Dispel
Smoked Baliwog LegSI,Restore Fatigue,Feather,Restore Health,Damage Fatigue
Somnalius Frond,Restore Speed,Damage Endurance,Fortify Health,Feather
Spiddal Stick,Damage Health,Damage Magicka,Fire Damage,Restore Fatigue
St. Jahn's Wort Nectar,Resist Shock,Damage Health,Cure Poison,Chameleon
Steel-Blue Entoloma Cap,Restore Magicka,Fire Damage,Resist Frost,Burden
Stinkhorn Cap,Damage Health,Restore Magicka,Water Walking,Invisibility
Strawberry,Restore Fatigue,Cure Poison,Damage Health,Reflect Damage
Summer Bolete Cap,Restore Agility,Shield,Damage Personality,Damage Endurance
Swamp TentacleSI,Restore Personality,Water Breathing,Water Walking,Fortify Health
Sweetcake,Restore Fatigue,Feather,Restore Health,Burden
Sweetroll,Restore Fatigue,Resist Disease,Damage Personality,Fortify Health
Taproot,Restore Luck,Damage Endurance,Resist Poison,Shock Shield
Thorn HookSI,Damage Health,Damage Luck,Restore Magicka,Fortify Health
Tiger Lily Nectar,Restore Endurance,Damage Strength,Water Walking,Damage Willpower
Tinder Polypore Cap,Restore Willpower,Resist Disease,Invisibility,Damage Magicka
Tobacco,Restore Fatigue,Resist Paralysis,Damage Magicka,Dispel
Tomato,Restore Fatigue,Detect Life,Burden,Shield
Troll Fat,Damage Agility,Fortify Personality,Damage Willpower,Damage Health
Unrefined GreenmoteSI,Drain Fatigue,Drain Health,Drain Magicka,Drain Intelligence
Vampire Dust,Silence,Resist Disease,Frost Damage,Invisibility
Venison,Restore Health,Feather,Damage Health,Chameleon
Viper's Bugloss Leaves,Resist Paralysis,Night-Eye,Burden,Cure Paralysis
Void EssenceSI,Restore Health,Fortify Health,Fortify Strength,Fortify Endurance
Void Salts,Restore Magicka,Damage Health,Fortify Magicka,Dispel
Watcher's EyeSI,Restore Intelligence,Fortify Magicka,Light,Reflect Spell
Water Hyacinth Nectar,Damage Luck,Damage Fatigue,Restore Magicka,Fortify Magicka
Water Root Pod PitSI,Restore Health,Resist Fire,Fire Shield,Water Breathing
Watermelon,Restore Fatigue,Light,Burden,Damage Health
Wheat Grain,Restore Fatigue,Damage Magicka,Fortify Health,Damage Personality
White Seed Pod,Restore Strength,Water Breathing,Silence,Light
Wisp CoreSI,Restore Intelligence,Burden,Light,Chameleon
Wisp Stalk Caps,Damage Health,Damage Willpower,Damage Intelligence,Fortify Speed
Withering MoonSI,Restore Magicka,Shield,Cure Disease,Reflect Spell
Worm's Head CapSI,Restore Luck,Night-Eye,Fortify Fatigue,Paralyze
Wormwood Leaves,Fortify Fatigue,Invisibility,Damage Health,Damage Magicka
